filename,date,article_id,total_tokens,found_count,not_found_count,unique_found,unique_not_found,found_percentage,not_found_words
1817-01_486406404.txt,1817-01,486406404,92,57,35,41,35,61.96,(; ); --; -tlio; 11; 1817-1858; 2; 24; 5; 8; ad; boards; bttanrute; characters; circumstances; co; comjirisinf; edinburgli; elements; engravings; gcncrii; layers; linnsean; lir; muuiwrs; naliuvs; rc-tuarkiibli; sjircirs; tiain; titlethe; tlie; vo; vols; werneriaii; wlio
1817-01_486409900.txt,1817-01,486409900,3070,2257,813,812,523,73.52,(; ); -al; -but; -f; -ilo; -in; -iot; -j; -l; -many; -not; -puls; -r; -there; -they; -tlic; -to; -v; -vfy; -who; 0; 000; 1; 10; 101; 1097; 11; 110; 111; 14; 15; 1817-1858; 2; 3; 4; 40; 400; 5; 500; 7; 71; 8; a-c; a-year; ac-; acts; adds; af; affairs; aiid; aiiii; ain; ainatcrdam; aincrican; aiy; alle; allllior; america; ami; an-; andrew; anuricnn; anymore; apostates; appears; articles; aru; avenues; aw; ayes; bank-; bcc; bcckwith; beckwith; began-tlie; begins; bills; birds; blessings; bnltii; bor; bounds; ca; calls; cani; cases; casham; cashin; casliman; ccording; cd; chlciilation; chronlclr; ciiiinibi; ciillfd; cjliiint; claims; cli; cliriblcliiireli; clisiir; cn; cnt; co-operate; co-operation; cockades; colours; comrs; conditions; consequences; contains; corruptions; coun-; councils-i; cr; cuiiiian; cw; dancers; david; de; de-1; declarations; depnrtrrient; derives; descends; desires; di; disease-we; docs; dublin; duns; dwelling-; englandtliat; enming; entertains; enulisli; er; er-1; esii; essi; estoit; europe; evils; exceeds; exefinivc; exemptions; exhausted-but; exhausted-no; extracts; extraordinarythe; faded-no; failli; favour; fcr; feathers; feeling-behaving; fi; fii; financu; fire-arms; fjsinmr; flin; fluctuations; fnuice; fogg; follows; frain; france; frcfiiiiisons; frciicl; friends; froin; fron; frtnclmpcs; fruin; fulfil; funds; furcr; gambols; gii; governmrnt; gr; grat; gunndl; gunnell; hamburgh; hamhiirgh; hands; hawkers; hcolcli; hi; highest; hills; honour; horrors; hpfilniisr; hr; hulciiiiisoii; i-1; iat; iau; ie; ifite; ihe; ihiisinii; ii; iif; iii; iii-ir; iiii; iil; iind; iio; iiond; iir; iiriinii; iit; ijeililiiiktin; ijr; ikf; il; iled; iliat; ilie; ilil; ilio; ilis; iliv; ill-sl; ilt; ilyiiioiuli; im; imports; imrnil; individuals; ine; ins; int; intentions; interests; iny; ir; ircliiiiil; ireland; ireury; irngcr; iroiii; is-lint; islcssed; istrciirly; italy; iti; itth; ive; ivr; iy; janunry; janw; jinhlii; jjiiilii; jnn; judges; juiirm; jun; justice-general; keepers; keeps; kf; kimrlliing; kisn; klh; knees; knows; la-sl; lav; laws; licenses; liel; lii; lil; lilie; linn; lins; liow; lipcrpiml; lislioil; liu; liv; liverpool; ll; llie; lln; llu; ln; loh; lolin; lt; lucas; lul; lumps; madi; mag; majiisiy; manv; marslialmen; materials; mccling; mcmbrisol; means; measures; merchants; minds; ministers; misdemeanour; mitli; ml; mll; mons; months; morit; mr; mril; nady; names; nathan; ncci; nd; neighbourhood; neitlier; nf; ni; niid; niit; niler; nind; ning; nj; nl; nm; nohilily; nortli; norton; norway; nrd; nri; ntdll; nto; nv; obligations; obviously; oc; ocp; officers; ofmr; ofw; oi; oilier; ol; oli; onu; opinions; ot; pai; panders; papers; parliaments; parlkiment; passions; pedlars; pel-mill; pensions; perl; persons; places; poland; powerfully; prc; press-yard; priis; princes; principles; proceedings; produces; proprietors; provisions; public-house; purliiiiiieiitiiry; purs; r-; rai; ral; rall; rcn; rd; receiver-geiic; relations; remains; remed; resolutions; rhodes; ri; ribbons; ril; rioters; rites; rj-; rl; rll; rn; ronc; rr; rs; rulers; sands; says; sc; scotiiiiid; scotland; seals; sec; sel; seo; sessions; ships; sii; siicaliin; sinel; skd; snw; spaiiku; spanisli; ss; ssi; st; sti-; stockholm; streets; su; sum-total; suri; t-; tad; tb; tbi; tbr; thai; thcr; them-; thi; thinks; thr; ti; tiiiatilf-; tilis; tills; tilvern; tim; tinn; tir; tl; tli; tlia; tlic; tlie; tlifmiay; tliliitre; tlio; tlis; tluxi; tn; tones; towns; tt; tv-; twn; ty; uh; ui; uie; uil; uit; ul; und; under-; undersigned; upwa; urci; uro; uroiirliain; urt; us-as; v-; vd; vere; virnnay; vli; voices; votes; vxtlt; wai; waithman; watson; wealth-lint; wen; widows; willi; william; willl; windows; witl; witli; wiu; wl; wlint; wlio; wlirre; wns; wr; ws; wth; xi-; years; yel
1817-01_486409959.txt,1817-01,486409959,161,136,25,93,22,84.47,(; ); --; 1817-1858; 3; arts; benefactors; cables; europe; honour; ht; michael; parts; pays; persons; sonic; st; titlethe; tlic; ul; uset; vessels
1817-01_486410074.txt,1817-01,486410074,1378,1100,278,485,201,79.83,(; ); --; -a; -and; -john; -ls; -oilthlirsdny; -pleasure; -to; -turbans; 1; 1-; 10; 11; 1817-1858; 2; 4; a-r; aas; addresses; alcrstr-to; andrew; attac; au; behaviour; biliicv; biood; blount; brings; brunettes; bv; calumniators; cares; carttiir; cea; circumstances-further; coii; colours; commands; constables; contrasts; corneliaand; coroiur; coroners; coti; cred; crosby; d-; days; devotees; diamonds; dih; diirins; dny; dond; dr; drosses; ec-; ee; enamoured; envious-and; epaulettes; esn; europe-tranquillity; exertions; facings; faiixbourg; faiixhourg; finf; flowers; folds; foreigners; fr; fridiiivi; friends; gal-irry; garden-wall; geht; greater; greenwich; hcd; hcl; hoil; holborn; honoro; hov; hyacinths; iday; ihe; ihoy; ihry; ii; iierefbrd; iin; iit; il; ilicrf; ilie; illilosylws; im; independence-to; inet; intriguers-the; ir; ish; israel; iti; jasmin; jirilish; jn; jos; jotli; jrmiyuils; judges; kent; kolile; ktomarh; lcscoat; lic; ll; llic; lock-jaw; lowest; mado; marks; marv; members; mills; ministers; modes; mothers; mr; nids; nion; niso; nnd; nr; nrc; nt; occasions; ol; oliinion; ollicer; orators; ot; otfcuhiience; oth; palaces; pjr; prou; ranks; represented; roniif; roses; rows; sessions; shc; shops; sinuutati; sli; slic; socrates; splendour; ss; st; stem-; stiiilbrdsliirc; stitonorc; streets; subscribers; suddenly; sugar-; surgeons; tdclitifythe; thai; thc; theni; thk; ti-lii-jn; tilis; tin-; titlethe; tl; tli; tlic; tlie; tlio; tlu; tn-; uav; uie; uilt; uue; ved; warriors; whieh; wi; witli; witnesses; wliitecru
1817-01_486410150.txt,1817-01,486410150,74,23,51,23,46,31.08,(; ); --; -ii; 1; 1817-1858; 2; 7; amcmbly; cf; cr; diii; frcin; guw; hia; iii; iiifll; iil; il; irs; iss; iy; jtcbjr; ln-; lr; mm; mn-il; monlny; mr; ni; noni; ol; qnoc-n; rii; rr; rs; rw; sonic; titlethe; tlie; tliu; tln; ul; wa; ww; yc
1817-01_486418748.txt,1817-01,486418748,1702,1454,248,553,142,85.43,(; ); --; -by; -the; 1; 1812; 1817-1858; a-step; adherents; affairs; affections; aggrandise; appearances; ardour; arrangements; associations; authors; avowedly; benefits; bonaparte; bonaparte-had; bonapartes; bosoms; britain; buiike; cd; changes; circumstances; clamours; conductors; conquests; consequences; constitutions; courts; ctly; days; degrees; deliverers; depends; dini; dishonourable; disorders; doctrines; effects; efforts; endeavoured; endeavours; ends; errors; europe; evils; excesses; favour; fell-into; forms; france; frencli; friends; froin; fruits; ghts; hands; highest; hits; ii; iiabits; iii; iiid; impostures; improvements; indications; ins; instruments; keenest; labour; liberators; mankind-in; matters; means; measures; minds; ministers; movements; mt; nearer; neighbouring; new-opinions; nml; nnd; nre; objects; onl; opinions; organs; others; places; ponce; powers; prejudices; pretexts; princes; principles; promises; purposes; quarters; reformers; reforms; resources; ri; rulers; scheldt; schemes; sentiments; states; steps; subjects; suddenly; terms; the-chaos; the-possession; things; this-state; tht-m; tible; titlethe; tlie; tliemonarclis; unhealthy; unpromising; unprovoked-aggression; untaught; usages; vapours; waters; wiser; witli; witnesses; wlicre; wlio; wnr; years
1817-01_486418849.txt,1817-01,486418849,166,112,54,73,50,67.47,(; ); --; -partly; 1; 15; 1817-1858; 4; 5; 8; ad; aiki; allardice; bnow; cf; davin; de; drbt; edinburgh; edinburgli; esq; europe; expedwncii; hiil; ifi; iid; ilr; ir; kingdoms; laws; leith; liv; musi; nationul; oi; ol; pres; principles; pru; shewing; states; svo; thomson; titis; titlethe; tlie; um; vely; wi; wvnu
1817-01_486420206.txt,1817-01,486420206,68,39,29,32,28,57.35,(; ); --; 11; 181; 1815; 1817-1858; 2; 6; 8; ad; boards; bqgravings; britain; co; edinburgh; france; louis; protestants; simond; simonds; skconn; tins; titlethe; travels; vo; vols; witli
1817-01_486420853.txt,1817-01,486420853,1072,870,202,342,152,81.16,(; ); -january; -m; 1; 13; 130; 14; 15; 1700; 1813; 1817-1858; 2; 30; 319; 4-1; 5; 6; 92; ad; after-; airings; alarms; amendments; ami; and-respect; arbitrary-a; arguments; arison; authorised; bav; beauvbir; becquey; blanquart-bailluel; boulogne; boyer-collard; btcaifey; bv; ca; camillc; cases; castel-bajac; cazcs; cazes; chambers; chaumont; committees; coni; corfws; da; dalamallc; dangers; dantzic; days; dc; dcnr; de; dea; ded; departments; details; dictates; directs; duvergier; ences; england; entrusted; errors; facts; favour; figaral; follows; france; frocoiilabonlayc; ft; gers; govcr; greater; habeas; hauranrie; hbr; ibr; ictli; ie; ihc; im; inconveniences; intelligencethe; iranee; irgitiinncy; irrefutably; kinf; kinp; laine; laur; laws; lcfcbvrc; legislators; lls; martinique; measures; milit; minis; minister-had; ministers; mio-who; moments; months; motives; nnd; obstacles; ofs; ond; op; orators; peers; persons; petitions; ponsard; ports; prcc; principles; proposes; prosecutions; pru; remi; restrictions; results; reviewed; salabcrry; salaberry; saulnicr; sodbsosnate; st; statements; suppor; terms; ters; thc; thuillcries; tlie; uc; unnecessary; vaugiraud; villei; voism; wcr; wha; which-rid; wliiitevcr; wlio; wlw
1817-01_486420912.txt,1817-01,486420912,680,511,169,248,135,75.15,(; ); --; -the; 0; 000; 03; 033; 1; 10; 12; 1200; 13; 14; 1785; 179; 181; 1813; 1817-1858; 183; 191; 2; 20; 22; 27; 28; 3; 4; 41; 5; 51; 6; 687; 7; 7-t; 77; 847; america; arrangements; ated; auditors; aw; brazil; cavalry-and; claims; coatracti; comptrouer; consliitins; constantinople; contains; dallas; dec; demands; departments; depredations; electors; employments; engagements; exclusively; expences; france; fumlcd; generaltleport; goiveriiinents; greater; griffiths; guiana; harhnry; ias; icai; injunctions; intcrnuncio; itli; james; jouriml; lci; liverpool; louis; manufacturers; means; medffeville; merchants; minds; mississippi; mr; munroe; naples; nie; no-; notes; nov; objects; one-fourth; ounces; owners; papers; pottc; powers; privileges; reimbuniematli; renewed; representatives; resides; riflemen; rights; ro; says; ships; sicilians; sicilies; sicily; sicn; sources; spain; st; states; subjects; tari; titlethe; tlic; tlie; tm; tomkins; toulman; trom; uelit; uniform-mode; uty; vice-president; vice-presiident; wp; writes; xviii; years; york
